"Amur Region", "Амурская область"
"Arkhangelsk Region", "Архангельская область"
"Astrakhan Region", "Астраханская область"
"Belgorod Region", "Белгородская область"
"Bryansk Region", "Брянская область"
"Vladimir Region", "Владимирская область"
"Volgograd Region", "Волгоградская область"
"Vologda Region", "Вологодская область"
"Voronezh Region", "Воронежская область"
"Ivanovo Region", "Ивановская область"
"Irkutsk Region", "Иркутская область"
"Kaliningrad Region", "Калининградская область"
"Kaluga Region", "Калужская область"
"Kemerovo Region", "Кемеровская область"
"Kirov Region", "Кировская область"
"Kostroma Region", "Костромская область"
"Kurgan Region", "Курганская область"
"Kursk Region", "Курская область"
"Leningrad Region", "Ленинградская область"
"Lipetsk Region", "Липецкая область"
"Magadan Region", "Магаданская область"
"Moscow Region", "Московская область"
"Murmansk Region", "Мурманская область"
"Nizhny Novgorod Region", "Нижегородская область"
"Novgorod Region", "Новгородская область"
"Novosibirsk Region", "Новосибирская область"
"Omsk Region", "Омская область"
"Orenburg Region", "Оренбургская область"
"Orel Region", "Орловская область"
"Penza Region", "Пензенская область"
"Pskov Region", "Псковская область"
"Rostov Region", "Ростовская область"
"Ryazan Region", "Рязанская область"
"Samara Region", "Самарская область"
"Saratov Region", "Саратовская область"
"Sakhalin Region", "Сахалинская область"
"Sverdlovsk Region", "Свердловская область"
"Smolensk Region", "Смоленская область"
"Tambov Region", "Тамбовская область"
"Tver Region", "Тверская область"
"Tomsk Region", "Томская область"
"Tula Region", "Тульская область"
"Tyumen Region", "Тюменская область"
"Ulyanovsk Region", "Ульяновская область"
"Chelyabinsk Region", "Челябинская область"
"Yaroslavl Region", "Ярославская область"
"Republic of Adygeya", "Республика Адыгея"
"Republic of Altai", "Республика Алтай"
"Republic of Bashkortostan", "Республика Башкортостан"
"Republic of Buryatia", "Республика Бурятия"
"Republic of Dagestan", "Республика Дагестан"
"Republic of Ingushetia", "Республика Ингушетия"
"Kabardino-Balkarian Republic", "Кабардино-Балкарская республика"
"Republic of Kalmykia", "Республика Калмыкия"
"Karachayevo-Circassian Republic", "Карачаево-Черкесская республика"
"Republic of Karelia", "Республика Карелия"
"Komi Republic", "Республика Коми"
"Republic of Crimea", "Республика Крым"
"Republic of Mari El", "Республика Марий Эл"
"Republic of Mordovia", "Республика Мордовия"
"Republic of Sakha (Yakutia)", "Республика Саха (Якутия)"
"Republic of North Ossetia – Alania", "Республика Северная Осетия — Алания"
"Republic of Tatarstan", "Республика Татарстан"
"Republic of Tuva", "Республика Тыва"
"Udmurtian Republic", "Удмуртская республика"
"Republic of Khakassia","Республика Хакасия"
"Chechen Republic", "Чеченская республика"
"Chuvash Republic", "Чувашская республика"
"Altai Territory", "Алтайский край"
"Trans-Baikal Territory", "Забайкальский край"
"Kamchatka Territory", "Камчатский край"
"Krasnodar Territory", "Краснодарский край"
"Krasnoyarsk Territory", "Красноярский край"
"Perm Territory", "Пермский край"
"Primorye Territory", "Приморский край"
"Stavropol Territory", "Ставропольский край"
"Khabarovsk Territory", "Хабаровский край"
"Nenets Autonomous Area", "Ненецкий автономный округ"
"Khanty-Mansi Autonomous Area – Yugra", "Ханты-Мансийский автономный округ - Югра"
"Chukotka Autonomous Area", "Чукотский автономный округ"
"Yamal-Nenets Autonomous Area", "Ямало-Ненецкий автономный округ"
"Moscow", "Москва"
"St. Petersburg", "Санкт-Петербург"
"Sevastopol", "Севастополь"
"Jewish Autonomous Region", "Еврейская автономная область"
